id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
-1.7425654393393397,1678,-0.8005493646139695,3240,2,101,1.4600459004721378,-0.19131158826785657,0,0.17197669724689488,1.1761491387438672,3.7547605389960457,1610,-0.2531253073393786,0.0,-0.1812705725611553
-1.7423091059765992,15887,-0.800307020671336,1012,1,105,-0.23075954536758003,0.111052279992818,0,2.649272257205548,0.06532575535252956,0.11375884976203701,2,-0.9400904848265943,0.0,-0.43790115078432634
-1.742217149195632,9990,-0.8002139412170272,1098,2,54,2.744611095222732,1.2367818451359247,1,-0.6588236429831412,0.6207374470481984,-0.6309914957631012,1611,0.30026330785865624,0.0,-0.43790115078432634
-1.7417721970296616,17026,-0.7997751560200428,2574,1,4,-0.8868096168711204,0.7062740182366044,0,-0.13013251738220916,0.06532575535252956,0.2792589265454011,744,-0.8828433867026597,0.0,-0.43790115078432634
-1.741423600022391,9299,-0.7995381057807099,4898,1,79,-1.1284387642527531,-0.8468598540362948,0,1.531468163077863,0.06532575535252956,-0.2999913421963731,985,-0.7683491904547903,0.0,-0.43790115078432634
-1.7413587495227991,4894,-0.7994988605972565,1647,2,51,0.6671192021282111,-1.0395391267974607,1,-1.096882004195342,2.2869725221352053,1.2722593872455854,1589,-0.2531253073393786,0.0,3.3260139964888493
-1.7411347391220002,15743,-0.7993691917835231,1900,1,38,-1.5159233259498863,-0.11014498759791871,0,0.09644939358961888,1.731560830439536,0.6930091185038112,1603,-0.7874315564961019,0.0,1.1874258446290904
-1.7410306100863777,7641,-0.7993125222410694,4349,2,35,-0.017263932074145807,-0.7441219495852147,1,-1.1119874649267973,-1.0454976280388082,-0.4654914189797371,431,-0.9782552169092174,0.0,-0.43790115078432634
-1.74025496128763,6752,-0.7985302026170005,2564,2,35,-0.15034951531406712,-0.9159611492010945,0,-0.35671442835403716,0.6207374470481984,1.4377594640289495,1,-0.6347726281656095,0.0,-0.43790115078432634
-1.739943597059305,16320,-0.7985281928042218,1181,2,62,-0.33072337925541356,-1.0362485889324702,0,-0.28118712469676116,0.06532575535252956,2.0170097327707235,1602,-0.5202784319177403,0.0,0.24644705781079645
-1.7397999849119434,15695,-0.7981775701981414,4904,1,21,-0.8836171591023675,-1.1558047980264308,0,0.2475040009041709,-0.4900859363431393,-0.2999913421963731,496,-0.9973375829505289,0.0,-0.43790115078432634
-1.7393585105330176,11644,-0.797855928374538,2348,2,33,1.2563271890958638,0.7402762428413326,1,-0.8249837110291485,-0.4900859363431393,2.182509809554088,869,-0.4630313337938056,0.0,-0.0101835204123746
-1.7388607778342562,4860,-0.7974365773493324,3365,2,50,1.93652022247652,0.407566303159368,0,-0.6588236429831412,0.06532575535252956,-0.4654914189797371,337,-0.9973375829505289,0.0,-0.43790115078432634
